City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
303,Mahuva,IN,84.22,overcast clouds,21.0914,71.7622,Hotel Blue Diamond.
305,Meulaboh,ID,79.66,light rain,4.1363,96.1285,Kost Pria
311,Abu Samrah,SY,77.76,clear sky,35.3029,37.1841,
312,Kavaratti,IN,84.04,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
313,Tindivanam,IN,88.29,overcast clouds,12.25,79.65,Impala Briyani & Wedinng Contract
315,Mitu,CO,75.15,overcast clouds,1.1983,-70.1733,
318,Hambantota,LK,80.94,broken clouds,6.1241,81.1185,Bungalow 63
320,Binabalian,PH,84.67,overcast clouds,16.4202,119.9279,Sundowners Vacation Villas
328,Pitimbu,BR,84.79,clear sky,-7.4706,-34.8086,Reserva do Abiaí
329,Touros,BR,85.1,few clouds,-5.1989,-35.4608,INN NEW HORIZON
334,Zhezkazgan,KZ,77.45,scattered clouds,47.8043,67.7144,Ul. Ranova 15-1 Kvartiry Posutochno.
335,Gizo,SB,81.16,light rain,-8.103,156.8419,Imagination Island
340,Vila Velha,BR,79.0,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
343,Carutapera,BR,82.53,broken clouds,-1.195,-46.02,Lidera
344,Ternate,ID,81.0,broken clouds,0.8,127.4,Grand Dafam Bela Ternate
345,Pacific Grove,US,80.06,scattered clouds,36.6177,-121.9166,Lovers Point Inn
346,Tarrafal,CV,77.79,clear sky,15.2833,-23.7667,Hotel Ixola
349,Banfora,BF,89.51,overcast clouds,10.6333,-4.7667,Residences David Hebié
350,Anloga,GH,84.42,scattered clouds,5.7947,0.8973,Pin Drop Hotel
351,Salinas,US,80.47,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
361,Ambon,ID,80.74,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
362,Uthal,PK,85.87,clear sky,25.8072,66.6219,Al Madina Hotal
363,Lexington,US,78.8,moderate rain,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
367,Bubaque,GW,78.64,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
370,Guaruja,BR,86.16,overcast clouds,-23.9931,-46.2564,Charme Hotel Guarujá
374,Umm Lajj,SA,87.53,clear sky,25.0213,37.2685,Moon light Furnished Units
378,Iracoubo,GF,80.89,heavy intensity rain,5.4802,-53.2011,Le Gite D Iracoubo
